"电影名","年份","国别"
"爱情抓马 / The Drama","2026","美国"
"良人 / Keeper","2025","美国 / 加拿大"
"惊变28年2：白骨圣殿 / 28 Years Later: The Bone Temple","2026","英国 / 美国 / 加拿大"
"惊变28年 / 28 Years Later","2025","英国 / 美国"
"雷诺阿 / ルノワール","2025","日本 / 法国 / 新加坡 / 菲律宾 / 印度尼西亚 / 卡塔尔"
"钢琴课 / The Piano","1993","新西兰 / 澳大利亚 / 法国"
"给阿嬷的情书","2026","中国大陆"
"再见初恋 / Un amour de jeunesse","2011","法国 / 德国"
"请求救援 / Send Help","2026","美国 / 加拿大 / 英国 / 澳大利亚 / 泰国"
"狗牙 / Κυνόδοντας","2009","希腊"
"寂静的朋友 / Stiller Freund","2025","德国 / 匈牙利 / 法国 / 中国大陆"
"枕边的男人 / L'homme de chevet","2009","法国"
"同甘共苦 / Together","2025","澳大利亚 / 美国"
"断网假期 / Leave the World Behind","2023","美国"
"诗人 / Un Poeta","2025","哥伦比亚 / 德国 / 瑞典"
"忧郁症 / Melancholia","2011","丹麦 / 瑞典 / 法国 / 德国"
"火烧天堂镇 / The Lost Bus","2025","美国"
"海滩上的女人 / The Woman on the Beach","1947","美国"
"奇迹梦之队 / Goat","2026","美国 / 加拿大"
"家弑服务 / The Housemaid","2025","美国"
"战·争 / Warfare","2025","美国 / 英国"
"他 / Him","2025","美国"
"河狸变身计划 / Hoppers","2026","美国"
"极寒之城 / Atomic Blonde","2017","美国 / 德国 / 瑞典 / 匈牙利"
"挽救计划 / Project Hail Mary","2026","美国"
"双狼 / Wolfs","2024","英国 / 美国"
"至尊马蒂 / Marty Supreme","2025","芬兰 / 美国"
"情感价值 / Affeksjonsverdi","2025","挪威 / 德国 / 丹麦 / 法国 / 瑞典 / 英国"
"密探 / O Agente Secreto","2025","巴西 / 法国 / 荷兰 / 德国"
"One Last Supper","2025","新加坡"
"初夏 / 첫여름","2025","韩国"
"哈姆奈特 / Hamnet","2025","英国 / 美国"
"镖人：风起大漠","2026","中国大陆"
"漆黑林地与着魔时日：民俗恐怖电影史 / Woodlands Dark and Days Bewitched: A History of Folk Horror","2021","美国"
"腓尼基计划 / The Phoenician Scheme","2025","美国 / 德国"
"8号出口 / 8番出口","2025","日本"
"水中刀 / Nóz w wodzie","1962","波兰"
"白莲花度假村 第二季 / The White Lotus Season 2","2022","美国"
"异教徒 / The Wicker Man","1973","英国"
"阿加莎·克里斯蒂之七面钟 / Agatha Christie’s Seven Dials","2026","英国"
"剃须记 / The Big Shave","1967","美国"
"近畿怪谈 / 近畿地方のある場所について","2025","日本"
"疯狂动物城2 / Zootopia 2","2025","美国"
"火车梦 / Train Dreams","2025","美国"
"人偶之家 / ドールハウス","2025","日本"
"重返寂静岭 / Return to Silent Hill","2026","法国 / 美国 / 英国 / 德国 / 塞尔维亚 / 日本"
"亲爱的，别！ / Honey Don't!","2025","美国 / 英国"
"咩！ / கத்து!","2025","马来西亚 / 法国 / 菲律宾"
"无可奈何 / 어쩔수가없다","2025","韩国"
"害羞的上帝 / Dieu est timide","2025","法国"
"巴黎夏日 / Le Rendez-vous de l'été","2025","法国"
"普通事故 / یک تصادف ساده","2025","伊朗 / 法国 / 卢森堡 / 美国"
