rank,title_zh,year,note
1,大河,1951,
2,乡村牧师日记,1951,
3,米兰的奇迹,1951,
4,被遗忘的人们,1950,
5,彗星美人,1950,
6,朱丽小姐,1951,
7,某种爱的纪录,1950,
8,日落大道,1950,
9,爱德华与卡罗琳,1951,
10,圣弗朗西斯之花,1950,
11,他,1953,
12,钱财勿动,1954,
13,相逢,1954,
14,飞车党,1953,
15,绅士爱美人,1953,
16,浪荡儿,1953,
17,模特儿趣事,1954,
18,蓝色栀子,1953,
19,鲁宾逊漂流记,1954,
20,母亲,1952,
21,游览意大利,1954,
22,词语,1955,
23,大刀,1955,
24,劳拉·蒙特斯,1955,
25,后窗,1954,
26,糟糕的相遇,1955,
27,大路,1954,
28,赤足天使,1954,
29,荒漠怪客,1954,
30,死吻,1955,
31,死囚越狱,1956,
32,艾琳娜和她的男人们,1956,
33,无因的反叛,1955,
34,阿卡丁先生,1955,
35,战国妖姬,1954,
36,夏夜的微笑,1955,
37,骗子,1955,
38,爱情,1948,
39,野餐,1955,
40,不安,1954,
41,纽约之王,1957,
42,成功之道,1957,
43,卡比利亚之夜,1957,
44,伸冤记,1956,
45,犯罪生涯,1955,
46,小丑之夜,1953,
47,高于生活,1956,
48,春风得意,1956,
49,高度怀疑,1956,
50,十二怒汉,1957,
51,历劫佳人,1958,
52,第七封印,1957,
53,白夜,1957,
54,呐喊,1957,
55,你好，忧愁,1958,
56,花都绮梦,1955,
57,她的一生,1958,
58,我的舅舅,1958,
59,安静的美国人,1958,
60,夏日插曲,1951,
61,雨月物语,1953,
62,广岛之恋,1959,
63,伊凡雷帝2,1958,
64,扒手,1959,
65,四百击,1959,
66,赤胆屠龙,1959,
67,野草莓,1957,
68,迷魂记,1958,
69,杨贵妃,1955,
70,孟加拉虎,1959,
71,山椒大夫,1954,
72,奇遇,1960,
73,精疲力尽,1960,
74,射杀钢琴师,1960,
75,海洋之诗,1958,
76,好女人们,1960,
77,纳萨林,1959,
78,慕理小镇,1955,
79,惊魂记,1960,
80,洞,1960,
81,萝拉,1961,
82,女人就是女人,1961,
83,巴黎属于我们,1961,
84,洛可兄弟,1960,
85,新平家物语,1955,
86,哭泣的马,1957,
87,夜,1961,
88,去年在马里昂巴德,1961,
89,孽海痴魂,1960,
90,马上双雄,1961,
91,随心所欲,1962,
92,祖与占,1962,
93,哈泰利,1962,
94,维莉蒂安娜,1961,
95,狮子星座,1962,
96,狂澜春醒,1960,
97,审判,1962,
98,犹在镜中,1961,
99,逃兵,1962,
100,瓦尼娜·瓦尼尼,1961,
101,蔑视,1963,
102,群鸟,1963,
103,泯灭天使,1962,
104,再见菲律宾,1962,
105,圣女贞德的审判,1962,
106,莫里埃尔,1963,
107,疯狂教授,1963,
108,卡宾枪手,1963,
109,龙头之死,1962,
110,八部半,1963,
111,法外之徒,1964,
112,葛楚,1964,
113,艳贼,1964,
114,已婚女人,1964,
115,湖畔春晓,1964,
116,红色沙漠,1964,
117,美国，美国,1963,
118,沉默,1963,
119,这些女人,1964,
120,仆人,1963,
121,狂人皮埃罗,1965,
122,北斗七星,1965,
123,冬日之光,1963,
124,六大导演看巴黎,1965,
125,阿尔法城,1965,
126,莉莉斯,1964,
127,恐怖走廊,1963,
128,家庭珠宝,1965,
129,马太福音,1964,
130,幸福,1965,
131,驴子巴特萨,1966,
132,轻取,1965,
133,没有和解,1965,
134,男性，女性,1966,
135,短发男人,1965,
136,七女人,1966,
137,路易十四的崛起,1966,
138,冲破铁幕,1966,
139,龙虎大飞车,1965,
140,口袋里的拳头,1965,
141,假面,1966,
142,白日美人,1967,
143,周末,1967,
144,以弓猎狮,1965,
145,玩乐时间,1967,
146,大嘴巴,1967,
147,雏菊,1966,
148,女教徒,1966,
149,我略知她一二,1967,
150,中国姑娘,1967,
151,安娜·玛格达丽娜·巴赫的编年史,1968,
152,革命前夕,1964,
153,边缘,1968,
154,勾魂慑魄,1968,
155,不能像这样死,1967,
156,白天的统治,1967,
157,障碍,1966,
158,偷吻,1968,
159,旋风骑士,1966,
160,黑衣新娘,1968,
161,走私犯,1968,
162,飞行员的妻子,1981,
163,弗兰西斯卡,1981,
164,一个可笑人物的悲剧,1981,
165,美国旅馆,1981,
166,德国，苍白的母亲,1980,
167,隔墙花,1981,
168,潜行者,1979,
169,音乐室,1958,
170,愤怒的公牛,1980,
171,我们一起游荡在夜的黑暗中，然后被烈火吞噬,1978,
172,巴勒摩或沃夫斯堡,1980,
173,女煞葛洛莉,1980,
174,鸽之翼,1981,
175,城里的房间,1982,
176,月光,1982,
177,受难记,1982,
178,白狗,1982,
179,一个女人的身份证明,1982,
180,北方的桥,1981,
181,石榴的颜色,1969,
182,帕西法尔,1982,
183,水手的三枚硬币,1983,
184,好姻缘,1982,
185,钱,1983,
187,战场上的快乐圣诞,1983,
188,残酷的游戏,1983,
189,喜剧之王,1982,
190,沙滩上的宝莲,1983,
191,逃亡之路,1983,
192,秘密的孩子,1982,
193,芬妮与亚历山大,1982,
194,糊涂福星,1983,
195,圆月映花都,1984,
196,阶级关系,1984,
197,35年之后,1983,
198,芳名卡门,1983,
199,自由，夜,1984,
200,斗鱼,1983,
201,船续前行,1983,
202,太空先锋,1983,
203,德州巴黎,1984,
204,美国往事,1984,
205,向玛丽致敬,1985,
206,侦探,1985,
207,龙年,1985,
208,排演之后,1984,
209,爱的激流,1984,
210,家与世界,1984,
211,可怕的情人,1984,
212,孩子们,1985,
213,乱,1985,
214,情陷夜巴黎,1985,
215,月神的宠儿,1984,
216,绿光,1986,
217,牺牲,1986,
218,苏拉姆城堡的传说,1985,
219,双重绅士,1986,
220,缅因海,1986,
221,坏血,1986,
222,圣女泰蕾丝,1986,
223,犯罪现场,1986,
224,阿尔卑斯的激情,1985,
225,夜之守护者,1986,
226,迷乱,1986,
227,下班后,1985,
228,小电影盛衰记,1986,
229,在撒旦的阳光下,1987,
230,柏林苍穹下,1987,
231,访谈录,1987,
232,恩培多克勒之死,1987,
233,末代皇帝,1987,
234,全金属外壳,1987,
235,双姝奇缘,1987,
236,光之翼,1987,
237,弥撒终了,1985,
238,加里里的婚礼,1987,
239,葡萄牙式再见,1986,
240,金钱本色,1986,
242,李尔王,1987,
243,爵士乐手,1988,
244,声音与愤怒,1988,
245,女人韵事,1988,
246,杀人短片,1988,
247,死者,1987,
248,急救,1988,
249,谁陷害了兔子罗杰,1988,
250,3张26日的票,1988,
251,吟游诗人,1988,
252,恋爱中的女人,1988,
253,红色木鸽,1989,
254,为所应为,1989,
255,四个女人的故事,1989,
256,孽扣,1988,
257,食人族,1988,
258,雅巴,1989,
259,赤色杀机,1964,
260,厚牛皮,1989,
261,小薇拉,1988,
262,我要回家,1989,
263,流浪者之歌,1988,
264,意外的旅客,1988,
265,小罪犯,1990,
266,死亡与复活,1990,
267,新浪潮,1990,
268,好家伙,1990,
269,亚历山大再次和永远,1990,
270,战士的荣誉,1990,
271,云遮星,1960,
272,罪与错,1989,
