rank,title_zh,year,note
1,坠落的审判,2023,
2,悲情三角,2022,
3,钛,2021,
4,寄生虫,2019,
5,小偷家族,2018,
6,方形,2017,
7,我是布莱克,2016,
8,流浪的迪潘,2015,
9,冬眠,2014,
10,阿黛尔的生活,2013,
11,爱,2012,
12,生命之树,2011,
13,能召回前世的布米叔叔,2010,
14,白丝带,2009,
15,墙壁之间,2008,
16,四月三周两天,2007,
17,风吹麦浪,2006,
18,孩子,2005,
19,华氏9/11,2004,
20,大象,2003,
21,钢琴家,2002,
22,儿子的房间,2001,
23,黑暗中的舞者,2000,
24,罗塞塔,1999,
25,永恒和一日,1998,
26,樱桃的滋味,1997,
27,鳗鱼,1997,
28,秘密与谎言,1996,
29,地下,1995,
30,低俗小说,1994,
31,钢琴课,1993,
32,霸王别姬,1993,
33,善意的背叛,1992,
34,巴顿·芬克,1991,
35,我心狂野,1990,
36,性、谎言和录像带,1989,
37,征服者佩尔,1987,
38,在撒旦的阳光下,1987,
39,教会,1986,
40,爸爸去出差,1985,
41,德州巴黎,1984,
42,楢山节考,1983,
43,自由之路,1982,
44,大失踪,1982,
45,铁人,1981,
46,影武者,1980,
47,爵士春秋,1979,
48,铁皮鼓,1979,
49,现代启示录,1979,
50,木屐树,1978,
51,我父我主,1977,
52,出租车司机,1976,
53,烽火岁月志,1975,
54,窃听大阴谋,1974,
55,稻草人,1973,
56,爱心补情天,1973,
57,马蒂事件,1972,
58,工人阶级上天堂,1971,
59,幽情密使,1971,
60,陆军野战医院,1970,
61,如果,1968,
62,放大,1966,
63,绅士现形记,1966,
64,一个男人和一个女人,1966,
65,诀窍,1965,
66,瑟堡的雨伞,1964,
67,豹,1963,
68,诺言,1962,
69,维莉蒂安娜,1961,
70,长别离,1961,
71,甜蜜的生活,1960,
72,黑人奥菲尔,1959,
73,雁南飞,1957,
74,四海一家,1956,
75,沉默的世界,1956,
76,君子好逑,1955,
77,地狱门,1953,
78,恐惧的代价,1953,
79,两分钱的希望,1952,
80,奥赛罗,1951,
81,米兰的奇迹,1951,
82,朱丽小姐,1951,
83,第三人,1949,
84,伟大的转折,1946,
85,没有翅膀的男人,1946,
86,最后的机会,1945,
87,玛丽娅的画像,1944,
88,罗马，不设防的城市,1945,
89,贫民窟,1946,
90,相见恨晚,1945,
91,田园交响乐,1946,
92,失去的周末,1945,
93,大地将变成红色,1945,
94,联太铁路,1939,
95,折磨,1944,
