rank,title_zh,year,note
1,让娜·迪尔曼,1975,
2,迷魂记,1958,
3,公民凯恩,1941,
4,东京物语,1953,
5,花样年华,2000,
6,2001太空漫游,1968,
7,军中禁恋,1999,
8,穆赫兰道,2001,
9,持摄影机的人,1929,
10,雨中曲,1952,
11,日出,1927,
12,教父,1972,
13,游戏规则,1939,
14,五至七时的克莱奥,1962,
15,搜索者,1956,
16,午后的迷惘,1943,
17,特写,1990,
18,假面,1966,
19,现代启示录,1979,
20,七武士,1954,
21,圣女贞德蒙难记,1928,
22,晚春,1949,
23,玩乐时间,1967,
24,为所应为,1989,
25,驴子巴特萨,1966,
26,猎人之夜,1955,
27,浩劫,1985,
28,雏菊,1966,
29,出租车司机,1976,
30,燃烧女子的肖像,2019,
31,八部半,1963,
32,镜子,1975,
33,惊魂记,1960,
34,亚特兰大号,1934,
35,大地之歌,1955,
36,城市之光,1931,
37,M就是凶手,1931,
38,精疲力尽,1960,
39,热情如火,1959,
40,后窗,1954,
41,偷自行车的人,1948,
42,罗生门,1950,
43,潜行者,1979,
44,杀羊人,1978,
45,巴里·林登,1975,
46,阿尔及尔之战,1966,
47,西北偏北,1959,
48,词语,1955,
49,旺达,1970,
50,四百击,1959,
51,钢琴课,1993,
52,恐惧吞噬灵魂,1974,
53,家乡的消息,1976,
54,蔑视,1963,
55,银翼杀手,1982,
56,战舰波将金号,1925,
57,桃色公寓,1960,
58,福尔摩斯二世,1924,
59,日月无光,1983,
60,甜蜜的生活,1960,
61,月光男孩,2016,
62,大地的女儿,1991,
63,好家伙,1990,
64,第三人,1949,
65,卡萨布兰卡,1942,
66,土狼之旅,1973,
67,安德烈·卢布廖夫,1966,
68,堤,1962,
69,红菱艳,1948,
70,拾穗者,2000,
71,大都会,1927,
72,奇遇,1960,
73,游览意大利,1954,
74,龙猫,1988,
75,千与千寻,2001,
76,春风秋雨,1959,
77,山椒大夫,1954,
78,日落大道,1950,
79,撒旦探戈,1994,
80,牯岭街少年杀人事件,1991,
81,摩登时代,1936,
82,平步青云,1946,
83,塞琳和朱莉出航记,1974,
84,蓝丝绒,1986,Douban item 84 hidden/deleted; filled from BFI official Blue Velvet
85,蜂巢幽灵,1973,
86,狂人皮埃罗,1965,
87,电影史-1A,1989,
88,闪灵,1980,
89,重庆森林,1994,
90,寄生虫,2019,
91,一一,2000,
92,雨月物语,1953,
93,豹,1963,
94,伯爵夫人的耳环,1953,
95,死囚越狱,1956,
96,西部往事,1968,
97,热带疾病,2004,
98,黑女孩,1966,
99,将军号,1926,
100,逃出绝命镇,2017,
