rank,title_zh,year,note
1,公民凯恩,1941,
2,迷魂记,1958,
3,2001太空漫游,1968,
4,东京物语,1953,
5,游戏规则,1939,
6,教父,1972,
7,八部半,1963,
8,日出,1927,
9,搜索者,1956,
10,七武士,1954,
11,雨中曲,1952,
12,让娜·迪尔曼,1975,
13,现代启示录,1979,
14,偷自行车的人,1948,
15,出租车司机,1976,
16,假面,1966,
17,花样年华,2000,
18,精疲力尽,1960,
19,圣女贞德蒙难记,1928,
20,亚特兰大号,1934,
21,战舰波将金号,1925,
22,持摄影机的人,1929,
23,镜子,1975,
24,罗生门,1950,
25,城市之光,1931,
26,惊魂记,1960,
27,四百击,1959,
28,安德烈·卢布廖夫,1966,
29,驴子巴特萨,1966,
30,穆赫兰道,2001,
31,热情如火,1959,
32,词语,1955,
33,教父2,1974,
34,甜蜜的生活,1960,
35,愤怒的公牛,1980,
36,猎人之夜,1955,
37,奇遇,1960,
38,卡萨布兰卡,1942,
39,银翼杀手,1982,
40,后窗,1954,
41,历劫佳人,1958,
42,玩乐时间,1967,
43,日落大道,1950,
44,巴里·林登,1975,
45,蔑视,1963,
46,大地之歌,1955,
47,特写,1990,
48,潜行者,1979,
49,阿拉伯的劳伦斯,1962,
50,将军号,1926,
51,摩登时代,1936,
52,军中禁恋,1999,
53,桃色公寓,1960,
54,第三人,1949,
55,M就是凶手,1931,
56,晚春,1949,
57,西北偏北,1959,
58,雨月物语,1953,
59,阿尔及尔之战,1966,
60,好家伙,1990,
61,大幻影,1937,
62,野草莓,1957,
63,赤胆屠龙,1959,
64,芬妮与亚历山大,1982,
65,浩劫,1985,
66,奇爱博士,1964,
67,西部往事,1968,
68,狂人皮埃罗,1965,
69,游览意大利,1954,
70,唐人街,1974,
71,为所应为,1989,
72,大都会,1927,
73,醉酒的女人,1974,
74,大路,1954,
75,豹,1963,
76,天堂的孩子,1945,
77,阿玛柯德,1973,
78,低俗小说,1994,
79,日落黄沙,1969,
80,维莉蒂安娜,1961,
81,死囚越狱,1956,
82,生活多美好,1946,
83,双虎屠龙,1962,
84,第七封印,1957,
85,山椒大夫,1954,
86,闪灵,1980,
87,同流者,1970,
88,扒手,1959,
89,伟大的安巴逊,1942,
90,大白鲨,1975,
91,纳什维尔,1975,
92,淘金记,1925,
93,葛楚,1964,
94,堤,1962,
95,日月无光,1983,
96,五至七时的克莱奥,1962,
97,你逃我也逃,1942,
98,祖与占,1962,
99,午后的迷惘,1943,
100,母亲与娼妓,1973,
101,撒旦探戈,1994,
102,福尔摩斯二世,1924,
103,伯爵夫人的耳环,1953,
104,发条橙,1971,
105,生之欲,1952,
106,恐惧吞噬灵魂,1974,
107,阿基尔，上帝的愤怒,1972,
108,安妮·霍尔,1977,
109,自己去看,1985,
110,去年在马里昂巴德,1961,
111,蜂巢幽灵,1973,
112,美国往事,1984,
113,贪婪,1924,
114,钢琴课,1993,
115,牯岭街少年杀人事件,1991,
116,绿野仙踪,1939,
117,一一,2000,
118,威尼斯疑魂,1973,
119,广岛之恋,1959,
120,红菱艳,1948,
121,放大,1966,
122,育婴奇谭,1938,
123,蚀,1962,
124,党同伐异,1916,
125,乡间一日,1946,
126,美人计,1946,
127,异形,1979,
128,随心所欲,1962,
129,一封陌生女子的来信,1948,
130,平步青云,1946,
131,E.T.外星人,1982,
132,泯灭天使,1962,
133,彗星美人,1950,
134,被遗忘的人们,1950,
135,春风秋雨,1959,
136,千与千寻,2001,
137,电影史,1989,
138,侠骨柔情,1946,
139,乱世佳人,1939,
140,女友礼拜五,1940,
141,罗马，不设防的城市,1945,
142,塞琳和朱莉出航记,1974,
143,马太福音,1964,
144,雏菊,1966,
145,诺斯费拉图,1922,
146,飞越疯人院,1975,
147,瑟堡的雨伞,1964,
148,杀羊人,1978,
149,窃听大阴谋,1974,
150,旺达,1970,
151,星球大战,1977,
152,血色将至,2007,
153,黄金三镖客,1966,
154,一条安达鲁狗,1929,
155,钱,1983,
156,天堂之日,1978,
157,天堂里的烦恼,1932,
158,重庆森林,1994,
159,呼喊与细语,1972,
160,龙猫,1988,
161,曼哈顿,1979,
162,双重赔偿,1944,
163,热带疾病,2004,
164,穷山恶水,1973,
165,过客,1975,
166,黄金时代,1930,
167,猎鹿人,1978,
168,十诫,1989,
169,德州电锯杀人狂,1974,
170,天使之翼,1939,
171,罗斯玛丽的婴儿,1968,
172,关山飞渡,1939,
173,土狼之旅,1973,
174,鸭羹,1933,
175,资产阶级的审慎魅力,1972,
176,相见恨晚,1945,
177,乱,1985,
178,群鸟,1963,
179,石榴的颜色,1969,
180,土地,1930,
181,燃烧女子的肖像,2019,
182,荒漠怪客,1954,
183,大河,1951,
184,穆谢特,1967,
185,午夜钟声,1965,
186,漩涡之外,1947,
187,拿破仑,1927,
188,夜,1961,
189,吸血鬼,1932,
190,卡比利亚之夜,1957,
191,洛可兄弟,1960,
192,生命之树,2011,
193,黑水仙,1947,
194,小城之春,1948,
195,德州巴黎,1984,
196,战火,1946,
197,淑女伊芙,1941,
198,拾穗者,2000,
199,夺宝奇兵,1981,
200,悲情城市,1989,
201,码头风云,1954,
202,第三类接触,1977,
203,金刚,1933,
204,最卑贱的人,1924,
205,天涯沦落女,1985,
206,家乡的消息,1976,
207,魂断威尼斯,1971,
208,大独裁者,1940,
209,怪形,1982,
210,百战将军,1943,
