rank,title_zh,year,note
1,让娜·迪尔曼,1975,
2,迷魂记,1958,
3,公民凯恩,1941,
4,东京物语,1953,
5,花样年华,2000,
6,2001太空漫游,1968,
7,军中禁恋,1999,
8,穆赫兰道,2001,
9,持摄影机的人,1929,
10,雨中曲,1952,
11,日出,1927,
12,教父,1972,
13,游戏规则,1939,
14,狂人皮埃罗,1965,
15,精疲力尽,1960,
16,搜索者,1956,
17,偷自行车的人,1948,
18,晚春,1949,
19,七武士,1954,
20,日落大道,1950,
21,呐喊与耳语,1972,
22,大路,1954,
23,四百击,1959,
25,大都会,1927,
26,后窗,1954,
27,浮云,1955,
28,假面,1966,
29,秋刀鱼之味,1962,
30,黑客帝国,1999,
31,第七封印,1957,
32,柏林苍穹下,1987,
33,巴里·林登,1975,
34,闪灵,1980,
35,热情似火,1959,
36,双重赔偿,1944,
37,罗生门,1950,
38,潜行者,1979,
39,银翼杀手,1982,
40,唐人街,1974,
41,出租车司机,1976,
42,恋恋风尘,1986,
43,关山飞渡,1939,
44,安德烈·卢布廖夫,1966,
45,精神病患者,1960,
46,天堂之日,1978,
47,镜子,1975,
48,现代启示录,1979,
49,雨月物语,1953,
50,母亲与娼妓,1973,
51,风柜来的人,1983,
52,西北偏北,1959,
53,八部半,1963,
54,甜蜜的生活,1960,
55,乱世佳人,1939,
56,独行杀手,1967,
57,控制,1975,
58,蔑视,1963,
59,大幻影,1937,
60,好家伙,1990,
61,卡萨布兰卡,1942,
62,历劫佳人,1958,
63,恐惧吞噬灵魂,1974,
64,玩乐时间,1967,
65,祖与占,1962,
66,低俗小说,1994,
67,寄生虫,2019,
68,千与千寻,2001,
69,热带疾病,2004,
70,静静的生活,1998,
71,漫长的告别,1973,
72,蓝色,1993,
73,堤,1962,
74,天色破晓,1939,
75,撒旦探戈,1994,
76,阿基尔上帝的愤怒,1972,
77,肖像的女人燃烧,2019,
78,西鹤一代女,1952,
79,一一,2000,
80,牯岭街少年杀人事件,1991,
81,都灵之马,2011,
82,儿子的大玩偶,1983,
83,筋疲力尽,1960,
84,城市之光,1931,
85,悲情城市,1989,
86,杀人回忆,2003,
87,月球旅行记,1902,
88,罗马不设防的城市,1945,
89,大地在波动,1948,
90,广岛之恋,1959,
91,小城之春,1948,
92,霸王别姬,1993,
93,童年往事,1985,
94,德州巴黎,1984,
95,心灵暗涌,2022,
96,正午,1952,
97,窃听风暴,2006,
98,戏梦巴黎,2003,
99,刺客聂隐娘,2015,
100,长日将尽,1993,
